LonFrom,LatFrom,LonTo,LatTo,dateTime,Mode,Description
2.19375,48.71342,2.42111,48.65497,20181029T080000,CAR+TC+WALK,Banlieue-Banlieue
2.26971,48.77321,2.68684,48.86155,20181029T080000,CAR+TC+WALK,Banlieue-Banlieue
2.42111,48.65497,2.38575,48.99779,20181029T080000,CAR+TC+WALK,Banlieue-Banlieue
2.68684,48.86155,2.38575,48.99779,20181029T080000,CAR+TC+WALK,Banlieue-Banlieue
2.72118,48.89429,2.07710,48.88684,20181029T080000,CAR+TC+WALK,Banlieue-Banlieue
2.65320,48.93987,2.13478,48.82314,20181029T180000,CAR+TC+WALK,Banlieue-Banlieue
2.38575,48.99779,2.19375,48.71342,20181029T180000,CAR+TC+WALK,Banlieue-Banlieue
2.07710,48.88684,2.26971,48.77321,20181029T180000,CAR+TC+WALK,Banlieue-Banlieue
2.13478,48.82314,2.68684,48.86155,20181029T180000,CAR+TC+WALK,Banlieue-Banlieue
2.04208,48.77882,2.38575,48.99779,20181029T180000,CAR+TC+WALK,Banlieue-Banlieue
