id_journey;possible_modes;date;startTime;endTime;x_origin;y_origin;x_dest;y_dest;duration;walkTime;transitTime;waitingTime;walkDistance;walkLimitExceeded;transfers
1;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180000;20181029T184419;2.38575;48.99779;2.19375;48.71342;2659;0;0;0;0;False;0
2;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T181419;20181029T193715;2.38575;48.99779;2.19375;48.71342;5042;1155;2760;0;1293;False;0
3;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T181255;20181029T193715;2.38575;48.99779;2.19375;48.71342;5126;1323;3180;12;1293;False;1
4;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T181419;20181029T193930;2.38575;48.99779;2.19375;48.71342;5111;451;3120;479;214;False;1
5;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T181255;20181029T193930;2.38575;48.99779;2.19375;48.71342;5195;619;3840;191;214;False;2
1;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180000;20181029T184425;2.13478;48.82314;2.68684;48.86155;2665;0;0;0;0;False;0
2;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T182606;20181029T195008;2.13478;48.82314;2.68684;48.86155;5057;583;3060;205;344;False;1
3;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T181034;20181029T195008;2.13478;48.82314;2.68684;48.86155;5974;856;4020;592;344;False;2
4;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180727;20181029T195008;2.13478;48.82314;2.68684;48.86155;6161;856;4500;352;344;False;2
1;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180000;20181029T183225;2.07710;48.88684;2.26971;48.77321;1945;0;0;0;0;False;0
2;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180417;20181029T193503;2.07710;48.88684;2.26971;48.77321;5446;987;3540;636;540;False;2
1;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080000;20181029T085428;2.72118;48.89429;2.07710;48.88684;3268;0;0;0;0;False;0
2;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T081004;20181029T094143;2.72118;48.89429;2.07710;48.88684;5499;680;3240;203;250;False;1
3;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T081853;20181029T095542;2.72118;48.89429;2.07710;48.88684;5823;679;4140;203;248;False;1
4;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T082856;20181029T101505;2.72118;48.89429;2.07710;48.88684;6369;521;4980;204;207;False;1
1;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180000;20181029T185802;2.65320;48.93987;2.13478;48.82314;3482;0;0;0;0;False;0
2;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180318;20181029T194725;2.65320;48.93987;2.13478;48.82314;6246;808;3480;177;296;False;2
3;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180203;20181029T195717;2.65320;48.93987;2.13478;48.82314;6913;867;4500;110;287;False;2
4;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180032;20181029T195717;2.65320;48.93987;2.13478;48.82314;7004;1013;4620;84;287;False;2
5;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180318;20181029T200457;2.65320;48.93987;2.13478;48.82314;7298;1252;4080;185;1203;False;1
6;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T181421;20181029T202352;2.65320;48.93987;2.13478;48.82314;7771;1516;5340;396;1111;False;2
7;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T181233;20181029T202352;2.65320;48.93987;2.13478;48.82314;7879;1348;4740;384;1111;False;1
1;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180000;20181029T184301;2.04208;48.77882;2.38575;48.99779;2581;0;0;0;0;False;0
2;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T181405;20181029T201906;2.04208;48.77882;2.38575;48.99779;7501;1674;5100;192;1216;False;2
1;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080000;20181029T082240;2.19375;48.71342;2.42111;48.65497;1360;0;0;0;0;False;0
1;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080000;20181029T083034;2.68684;48.86155;2.38575;48.99779;1834;0;0;0;0;False;0
2;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080150;20181029T092736;2.68684;48.86155;2.38575;48.99779;5146;960;3480;336;511;False;2
1;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080000;20181029T085006;2.42111;48.65497;2.38575;48.99779;3006;0;0;0;0;False;0
2;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080657;20181029T092736;2.42111;48.65497;2.38575;48.99779;4852;792;2880;264;511;False;1
3;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080109;20181029T092736;2.42111;48.65497;2.38575;48.99779;5187;792;3120;564;511;False;2
1;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080000;20181029T083650;2.26971;48.77321;2.68684;48.86155;2210;0;0;0;0;False;0
2;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T102434;20181029T114608;2.26971;48.77321;2.68684;48.86155;4894;751;2820;277;344;False;2
3;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T085404;20181029T114608;2.26971;48.77321;2.68684;48.86155;10324;585;6480;2843;344;False;2
