,,distance,distance,nbJourney,nbTransit,time,time
,,mean,std,sum,sum,mean,std
requestId,mode,,,,,,
Banlieue-Banlieue1.json,bus,"8,49","14,7",1,2,"0,28","0,49"
Banlieue-Banlieue1.json,car,"10,79","7,38",3,0,"0,35","0,18"
Banlieue-Banlieue1.json,rail,"3,93","6,8",1,2,"0,12","0,2"
Banlieue-Banlieue1.json,subway,"0,0","0,0",0,0,"0,0","0,0"
Banlieue-Banlieue1.json,waiting,"0,0","0,0",0,0,"0,05","0,06"
Banlieue-Banlieue1.json,walking,"1,06","0,35",3,0,"0,29","0,11"
Banlieue-Banlieue10.json,bus,"9,29","10,08",14,15,"0,52","0,36"
Banlieue-Banlieue10.json,car,"7,01","6,13",15,0,"0,26","0,15"
Banlieue-Banlieue10.json,rail,"36,23","12,08",15,26,"0,86","0,34"
Banlieue-Banlieue10.json,subway,"3,42","5,87",4,4,"0,13","0,22"
Banlieue-Banlieue10.json,waiting,"0,0","0,0",0,0,"0,25","0,1"
Banlieue-Banlieue10.json,walking,"1,17","0,47",15,0,"0,41","0,08"
Banlieue-Banlieue2.json,bus,"4,3","0,0",2,2,"0,18","0,0"
Banlieue-Banlieue2.json,car,"4,89","4,75",2,0,"0,21","0,12"
Banlieue-Banlieue2.json,rail,"32,2","6,83",2,4,"0,75","0,21"
Banlieue-Banlieue2.json,subway,"0,0","0,0",0,0,"0,0","0,0"
Banlieue-Banlieue2.json,waiting,"0,0","0,0",0,0,"0,16","0,11"
Banlieue-Banlieue2.json,walking,"0,62","0,11",2,0,"0,26","0,03"
Banlieue-Banlieue3.json,bus,"2,51",,1,1,"0,15",
Banlieue-Banlieue3.json,car,"9,49",,1,0,"0,32",
Banlieue-Banlieue3.json,rail,"31,01",,1,1,"0,68",
Banlieue-Banlieue3.json,subway,"0,0",,0,0,"0,0",
Banlieue-Banlieue3.json,waiting,"0,0",,0,0,"0,04",
Banlieue-Banlieue3.json,walking,"0,44",,1,0,"0,19",
Banlieue-Banlieue4.json,bus,"8,79","13,75",3,5,"0,28","0,42"
Banlieue-Banlieue4.json,car,"8,43","4,01",4,0,"0,3","0,1"
Banlieue-Banlieue4.json,rail,"25,88","18,73",3,6,"0,51","0,4"
Banlieue-Banlieue4.json,subway,"0,0","0,0",0,0,"0,0","0,0"
Banlieue-Banlieue4.json,waiting,"0,0","0,0",0,0,"0,18","0,08"
Banlieue-Banlieue4.json,walking,"1,45","0,59",4,0,"0,47","0,14"
Banlieue-Banlieue5.json,bus,"4,52","3,68",8,11,"0,29","0,21"
Banlieue-Banlieue5.json,car,"8,93","4,31",9,0,"0,31","0,11"
Banlieue-Banlieue5.json,rail,"45,69","5,93",9,9,"1,01","0,1"
Banlieue-Banlieue5.json,subway,"0,0","0,0",0,0,"0,0","0,0"
Banlieue-Banlieue5.json,waiting,"0,0","0,0",0,0,"0,25","0,16"
Banlieue-Banlieue5.json,walking,"0,75","0,57",9,0,"0,25","0,12"
Banlieue-Banlieue6.json,bus,"4,84","2,5",6,6,"0,31","0,18"
Banlieue-Banlieue6.json,car,"11,57","4,44",6,0,"0,37","0,11"
Banlieue-Banlieue6.json,rail,"40,04","4,04",6,13,"0,85","0,09"
Banlieue-Banlieue6.json,subway,"0,0","0,0",0,0,"0,0","0,0"
Banlieue-Banlieue6.json,waiting,"0,0","0,0",0,0,"0,21","0,1"
Banlieue-Banlieue6.json,walking,"0,78","0,45",6,0,"0,32","0,05"
Banlieue-Banlieue7.json,bus,"2,94","3,22",3,3,"0,12","0,14"
Banlieue-Banlieue7.json,car,"5,94","3,45",6,0,"0,23","0,09"
Banlieue-Banlieue7.json,rail,"31,96","4,12",6,10,"0,73","0,09"
Banlieue-Banlieue7.json,subway,"0,0","0,0",0,0,"0,0","0,0"
Banlieue-Banlieue7.json,waiting,"0,0","0,0",0,0,"0,1","0,07"
Banlieue-Banlieue7.json,walking,"0,97","0,49",6,0,"0,3","0,1"
Banlieue-Banlieue8.json,bus,"3,4","6,02",4,5,"0,25","0,46"
Banlieue-Banlieue8.json,car,"10,67","6,99",5,0,"0,35","0,17"
Banlieue-Banlieue8.json,rail,"18,29","16,7",3,6,"0,48","0,44"
Banlieue-Banlieue8.json,subway,"0,0","0,0",0,0,"0,0","0,0"
Banlieue-Banlieue8.json,waiting,"0,0","0,0",0,0,"0,12","0,11"
Banlieue-Banlieue8.json,walking,"0,64","0,23",5,0,"0,22","0,09"
Banlieue-Banlieue9.json,bus,"4,3","0,0",3,3,"0,18","0,0"
Banlieue-Banlieue9.json,car,"5,24","5,06",3,0,"0,22","0,13"
Banlieue-Banlieue9.json,rail,"41,47","6,6",3,5,"0,87","0,15"
Banlieue-Banlieue9.json,subway,"0,0","0,0",0,0,"0,0","0,0"
Banlieue-Banlieue9.json,waiting,"0,0","0,0",0,0,"0,15","0,1"
Banlieue-Banlieue9.json,walking,"0,49","0,02",3,0,"0,23","0,05"
