None;x_origin;y_origin;x_dest;y_dest;walkTime;walkTime;walkDistance;walkDistance;id_journey;waitingTime;waitingTime;duration;duration;transitTime;transitTime
None;;;;;mean;std;mean;std;nunique;mean;std;mean;std;mean;std
0;2.38575;48.99779;2.19375;48.71342;11.826666666666666;8.94914334820192;0.6028;0.63609173866668;5;2.2733333333333334;3.466518426317679;77.11;18.35439926072826;43.0;24.89979919597746
1;2.13478;48.82314;2.68684;48.86155;9.5625;6.726156447448688;0.258;0.172;4;4.7875;4.15378843146029;82.7375;26.782662215888298;48.25;33.67862823809782
2;2.0771;48.88684;2.26971;48.77321;8.225;11.631906550518705;0.27;0.3818376618407357;2;5.3;7.495331880577404;61.59166666666667;41.25968068223505;29.5;41.71930009000631
3;2.72118;48.894290000000005;2.0771;48.88684;7.833333333333333;5.368650427007463;0.17625;0.11915920722573924;4;2.5416666666666665;1.6944626592827896;87.32916666666667;22.71073076029626;51.5;36.31803959466975
4;2.6532;48.93987;2.13478;48.82314;16.2;8.333605551109406;0.6135714285714285;0.5054561824539813;7;3.180952380952381;2.4906943210796064;110.93571428571428;25.07456182655343;63.71428571428571;29.685654704555454
5;2.04208;48.77882;2.38575;48.99779;13.95;19.728279195104676;0.608;0.8598418459228419;2;1.6;2.262741699796952;84.01666666666667;57.982756057296896;42.5;60.10407640085654
6;2.19375;48.71342;2.4211099999999997;48.65497;0.0;;0.0;;1;0.0;;22.666666666666668;;0.0;
7;2.68684;48.86155;2.38575;48.99779;8.0;11.313708498984761;0.2555;0.3613315651863258;2;2.8;3.959797974644666;58.166666666666664;39.03229432149742;29.0;41.012193308819754
8;2.4211099999999997;48.65497;2.38575;48.99779;8.8;7.62102355330306;0.3406666666666667;0.29502598755589876;3;4.6;4.703190406521939;72.47222222222221;19.575000591268143;33.333333333333336;28.93671255228094
9;2.26971;48.77321;2.68684;48.86155;7.422222222222222;6.575001760315214;0.22933333333333333;0.19860849260123126;3;17.333333333333332;26.12623734443553;96.82222222222222;68.89530167284698;51.666666666666664;54.151023382142405
