None;x_origin;y_origin;x_dest;y_dest;legMode;transitLeg;transitLeg;legDistance;legDistance;legDuration;legDuration
None;;;;;;median;std;mean;std;mean;std
0;2.38575;48.99779;2.19375;48.71342;CAR;0.0;0.0;16.770000000000003;16.797013171989832;19.57;14.486691210287539
1;2.38575;48.99779;2.19375;48.71342;RAIL;1.5;0.5773502691896257;29.50375;4.643920497094383;46.25;6.800735254367722
2;2.38575;48.99779;2.19375;48.71342;WALK;0.0;0.0;0.7649393533146837;0.6097519130244304;17.625;3.897114317029974
3;2.38575;48.99779;2.19375;48.71342;BUS;1.0;0.0;5.883;0.0;15.0;0.0
4;2.13478;48.82314;2.68684;48.86155;CAR;0.0;0.0;17.83925;22.490342125380543;20.075;17.175092322788146
5;2.13478;48.82314;2.68684;48.86155;RAIL;2.0;0.5773502691896257;40.934666666666665;7.20764207860888;53.333333333333336;12.220201853215572
6;2.13478;48.82314;2.68684;48.86155;WALK;0.0;0.0;0.34400000000000003;0.0;19.133333333333333;5.5677643628300215
7;2.13478;48.82314;2.68684;48.86155;BUS;1.0;0.0;4.295;0.0;11.0;0.0
8;2.0771;48.88684;2.26971;48.77321;CAR;0.0;0.0;19.3295;24.504785502019804;18.566666666666666;19.586857838867363
9;2.0771;48.88684;2.26971;48.77321;RAIL;2.0;;33.494;;56.0;
10;2.0771;48.88684;2.26971;48.77321;WALK;0.0;;0.54;;27.05;
11;2.0771;48.88684;2.26971;48.77321;BUS;1.0;;0.846;;3.0;
12;2.72118;48.894290000000005;2.0771;48.88684;CAR;0.0;0.0;26.160811699109125;29.13872570230731;25.395833333333336;20.06057666447082
13;2.72118;48.894290000000005;2.0771;48.88684;RAIL;1.0;0.0;44.461000000000006;10.737006845485382;60.0;11.532562594670797
14;2.72118;48.894290000000005;2.0771;48.88684;WALK;0.0;0.0;0.235;0.024269322199023197;13.833333333333334;1.5155673671745642
15;2.72118;48.894290000000005;2.0771;48.88684;BUS;1.0;0.0;2.3016666666666663;0.2144115979450118;8.666666666666666;3.0550504633038935
16;2.6532;48.93987;2.13478;48.82314;CAR;0.0;0.0;17.87755777479361;16.373756627361864;27.849999999999998;15.065609599103267
17;2.6532;48.93987;2.13478;48.82314;RAIL;2.0;0.5163977794943223;39.31483333333333;6.868499033025096;55.0;9.38083151964686
18;2.6532;48.93987;2.13478;48.82314;WALK;0.0;0.0;0.7158333333333333;0.4676966609530869;22.611111111111114;6.6892672465895915
19;2.6532;48.93987;2.13478;48.82314;BUS;1.0;0.0;6.8355;3.656390556272675;19.333333333333332;7.25718035235908
20;2.04208;48.77882;2.38575;48.99779;CAR;0.0;0.0;25.838500000000003;30.477009375921387;25.966666666666665;24.11234123846127
21;2.04208;48.77882;2.38575;48.99779;RAIL;1.0;;19.423;;29.0;
22;2.04208;48.77882;2.38575;48.99779;WALK;0.0;;1.216;;31.1;
23;2.04208;48.77882;2.38575;48.99779;SUBWAY;1.0;;12.834;;30.0;
24;2.04208;48.77882;2.38575;48.99779;BUS;1.0;;5.599;;26.0;
25;2.19375;48.71342;2.4211099999999997;48.65497;CAR;0.0;;23.118;;22.666666666666668;
26;2.68684;48.86155;2.38575;48.99779;CAR;0.0;0.0;20.200999999999997;21.694036046803276;18.366666666666667;17.253405460951758
27;2.68684;48.86155;2.38575;48.99779;RAIL;2.0;;37.956;;50.0;
28;2.68684;48.86155;2.38575;48.99779;WALK;0.0;;0.511;;21.6;
29;2.68684;48.86155;2.38575;48.99779;BUS;1.0;;2.17;;8.0;
30;2.4211099999999997;48.65497;2.38575;48.99779;CAR;0.0;0.0;24.54166666666667;27.198465624614443;25.666666666666668;21.2202929605916
31;2.4211099999999997;48.65497;2.38575;48.99779;RAIL;1.5;0.7071067811865476;32.689;2.3758787847867993;42.0;2.8284271247461903
32;2.4211099999999997;48.65497;2.38575;48.99779;WALK;0.0;0.0;0.511;0.0;20.1;3.5355339059327378
33;2.4211099999999997;48.65497;2.38575;48.99779;BUS;1.0;0.0;2.17;0.0;8.0;0.0
34;2.26971;48.77321;2.68684;48.86155;CAR;0.0;0.0;18.996044717373476;22.107665399929278;20.400000000000002;15.169157304653853
35;2.26971;48.77321;2.68684;48.86155;RAIL;2.0;;27.367;;36.0;
36;2.26971;48.77321;2.68684;48.86155;WALK;0.0;0.0;0.344;0.0;37.13333333333333;28.284271247461902
37;2.26971;48.77321;2.68684;48.86155;BUS;2.0;1.4142135623730951;18.679000000000002;20.3420478811746;59.5;68.58935777509511
