None;x_origin;y_origin;x_dest;y_dest;id_journey;legMode;transitLeg;legDistance;legDuration
None;;;;;;;<lambda>;legDistance;legDuration
0;2.38575;48.99779;2.19375;48.71342;1;CAR;0;46.232;44.31666666666667
1;2.38575;48.99779;2.19375;48.71342;2;CAR;0;12.704;17.683333333333334
2;2.38575;48.99779;2.19375;48.71342;2;RAIL;1;29.444;46.0
3;2.38575;48.99779;2.19375;48.71342;2;WALK;0;1.293;19.25
4;2.38575;48.99779;2.19375;48.71342;3;CAR;0;6.105;9.083333333333334
5;2.38575;48.99779;2.19375;48.71342;3;RAIL;2;35.094;53.0
6;2.38575;48.99779;2.19375;48.71342;3;WALK;0;1.293;22.25
7;2.38575;48.99779;2.19375;48.71342;4;CAR;0;12.704;17.683333333333334
8;2.38575;48.99779;2.19375;48.71342;4;RAIL;1;23.726;37.0
9;2.38575;48.99779;2.19375;48.71342;4;WALK;0;0.23687870662936747;15.5
10;2.38575;48.99779;2.19375;48.71342;4;BUS;1;5.883;15.0
11;2.38575;48.99779;2.19375;48.71342;5;CAR;0;6.105;9.083333333333334
12;2.38575;48.99779;2.19375;48.71342;5;RAIL;2;29.751;49.0
13;2.38575;48.99779;2.19375;48.71342;5;WALK;0;0.23687870662936747;13.5
14;2.38575;48.99779;2.19375;48.71342;5;BUS;1;5.883;15.0
15;2.13478;48.82314;2.68684;48.86155;1;CAR;0;50.566;44.416666666666664
16;2.13478;48.82314;2.68684;48.86155;2;CAR;0;14.63;19.9
17;2.13478;48.82314;2.68684;48.86155;2;RAIL;1;32.867;40.0
18;2.13478;48.82314;2.68684;48.86155;2;WALK;0;0.344;13.133333333333333
19;2.13478;48.82314;2.68684;48.86155;2;BUS;1;4.295;11.0
20;2.13478;48.82314;2.68684;48.86155;3;CAR;0;3.563;8.433333333333334
21;2.13478;48.82314;2.68684;48.86155;3;RAIL;2;43.198;56.0
22;2.13478;48.82314;2.68684;48.86155;3;WALK;0;0.344;24.133333333333333
23;2.13478;48.82314;2.68684;48.86155;3;BUS;1;4.295;11.0
24;2.13478;48.82314;2.68684;48.86155;4;CAR;0;2.598;7.55
25;2.13478;48.82314;2.68684;48.86155;4;RAIL;2;46.739;64.0
26;2.13478;48.82314;2.68684;48.86155;4;WALK;0;0.344;20.133333333333333
27;2.13478;48.82314;2.68684;48.86155;4;BUS;1;4.295;11.0
28;2.0771;48.88684;2.26971;48.77321;1;CAR;0;36.657;32.416666666666664
29;2.0771;48.88684;2.26971;48.77321;2;CAR;0;2.002;4.716666666666667
30;2.0771;48.88684;2.26971;48.77321;2;RAIL;2;33.494;56.0
31;2.0771;48.88684;2.26971;48.77321;2;WALK;0;0.54;27.05
32;2.0771;48.88684;2.26971;48.77321;2;BUS;1;0.846;3.0
33;2.72118;48.894290000000005;2.0771;48.88684;1;CAR;0;69.218;54.46666666666667
34;2.72118;48.894290000000005;2.0771;48.88684;2;CAR;0;18.024;22.933333333333334
35;2.72118;48.894290000000005;2.0771;48.88684;2;RAIL;1;33.717;48.0
36;2.72118;48.894290000000005;2.0771;48.88684;2;WALK;0;0.25;14.716666666666667
37;2.72118;48.894290000000005;2.0771;48.88684;2;BUS;1;2.13;6.0
38;2.72118;48.894290000000005;2.0771;48.88684;3;CAR;0;11.646;13.116666666666667
39;2.72118;48.894290000000005;2.0771;48.88684;3;RAIL;1;44.475;61.0
40;2.72118;48.894290000000005;2.0771;48.88684;3;WALK;0;0.248;14.7
41;2.72118;48.894290000000005;2.0771;48.88684;3;BUS;1;2.233;8.0
42;2.72118;48.894290000000005;2.0771;48.88684;4;CAR;0;5.755246796436497;11.066666666666666
43;2.72118;48.894290000000005;2.0771;48.88684;4;RAIL;1;55.191;71.0
44;2.72118;48.894290000000005;2.0771;48.88684;4;WALK;0;0.207;12.083333333333334
45;2.72118;48.894290000000005;2.0771;48.88684;4;BUS;1;2.542;12.0
46;2.6532;48.93987;2.13478;48.82314;1;CAR;0;54.066;58.03333333333333
47;2.6532;48.93987;2.13478;48.82314;2;CAR;0;15.428342684288518;29.7
48;2.6532;48.93987;2.13478;48.82314;2;RAIL;2;35.992;51.0
49;2.6532;48.93987;2.13478;48.82314;2;WALK;0;0.296;16.416666666666668
50;2.6532;48.93987;2.13478;48.82314;2;BUS;1;1.605;7.0
51;2.6532;48.93987;2.13478;48.82314;3;CAR;0;12.417606109756528;23.95
52;2.6532;48.93987;2.13478;48.82314;3;RAIL;2;42.964;57.0
53;2.6532;48.93987;2.13478;48.82314;3;WALK;0;0.287;16.283333333333335
54;2.6532;48.93987;2.13478;48.82314;3;BUS;1;5.064;18.0
55;2.6532;48.93987;2.13478;48.82314;4;CAR;0;11.148447780194644;21.466666666666665
56;2.6532;48.93987;2.13478;48.82314;4;RAIL;2;37.591;59.0
57;2.6532;48.93987;2.13478;48.82314;4;WALK;0;0.287;18.283333333333335
58;2.6532;48.93987;2.13478;48.82314;4;BUS;1;5.064;18.0
59;2.6532;48.93987;2.13478;48.82314;5;CAR;0;15.428342684288518;29.7
60;2.6532;48.93987;2.13478;48.82314;5;RAIL;1;28.807;39.0
61;2.6532;48.93987;2.13478;48.82314;5;WALK;0;1.203;23.95
62;2.6532;48.93987;2.13478;48.82314;5;BUS;1;7.516;29.0
63;2.6532;48.93987;2.13478;48.82314;6;CAR;0;4.487575423673032;8.65
64;2.6532;48.93987;2.13478;48.82314;6;RAIL;2;48.96;67.0
65;2.6532;48.93987;2.13478;48.82314;6;WALK;0;1.111;31.866666666666667
66;2.6532;48.93987;2.13478;48.82314;6;BUS;1;10.882;22.0
67;2.6532;48.93987;2.13478;48.82314;7;CAR;0;12.166589741354;23.45
68;2.6532;48.93987;2.13478;48.82314;7;RAIL;1;41.575;57.0
69;2.6532;48.93987;2.13478;48.82314;7;WALK;0;1.111;28.866666666666667
70;2.6532;48.93987;2.13478;48.82314;7;BUS;1;10.882;22.0
71;2.04208;48.77882;2.38575;48.99779;1;CAR;0;47.389;43.016666666666666
72;2.04208;48.77882;2.38575;48.99779;2;CAR;0;4.288;8.916666666666666
73;2.04208;48.77882;2.38575;48.99779;2;RAIL;1;19.423;29.0
74;2.04208;48.77882;2.38575;48.99779;2;WALK;0;1.216;31.1
75;2.04208;48.77882;2.38575;48.99779;2;SUBWAY;1;12.834;30.0
76;2.04208;48.77882;2.38575;48.99779;2;BUS;1;5.599;26.0
77;2.19375;48.71342;2.4211099999999997;48.65497;1;CAR;0;23.118;22.666666666666668
78;2.68684;48.86155;2.38575;48.99779;1;CAR;0;35.541;30.566666666666666
79;2.68684;48.86155;2.38575;48.99779;2;CAR;0;4.861;6.166666666666667
80;2.68684;48.86155;2.38575;48.99779;2;RAIL;2;37.956;50.0
81;2.68684;48.86155;2.38575;48.99779;2;WALK;0;0.511;21.6
82;2.68684;48.86155;2.38575;48.99779;2;BUS;1;2.17;8.0
83;2.4211099999999997;48.65497;2.38575;48.99779;1;CAR;0;55.862;50.1
84;2.4211099999999997;48.65497;2.38575;48.99779;2;CAR;0;10.89;15.05
85;2.4211099999999997;48.65497;2.38575;48.99779;2;RAIL;1;31.009;40.0
86;2.4211099999999997;48.65497;2.38575;48.99779;2;WALK;0;0.511;17.6
87;2.4211099999999997;48.65497;2.38575;48.99779;2;BUS;1;2.17;8.0
88;2.4211099999999997;48.65497;2.38575;48.99779;3;CAR;0;6.873;11.85
89;2.4211099999999997;48.65497;2.38575;48.99779;3;RAIL;2;34.369;44.0
90;2.4211099999999997;48.65497;2.38575;48.99779;3;WALK;0;0.511;22.6
91;2.4211099999999997;48.65497;2.38575;48.99779;3;BUS;1;2.17;8.0
92;2.26971;48.77321;2.68684;48.86155;1;CAR;0;44.33;36.833333333333336
93;2.26971;48.77321;2.68684;48.86155;2;CAR;0;9.047872280307127;17.433333333333334
94;2.26971;48.77321;2.68684;48.86155;2;RAIL;2;27.367;36.0
95;2.26971;48.77321;2.68684;48.86155;2;WALK;0;0.344;17.133333333333333
96;2.26971;48.77321;2.68684;48.86155;2;BUS;1;4.295;11.0
97;2.26971;48.77321;2.68684;48.86155;3;CAR;0;3.610261871813306;6.933333333333334
98;2.26971;48.77321;2.68684;48.86155;3;BUS;3;33.063;108.0
99;2.26971;48.77321;2.68684;48.86155;3;WALK;0;0.344;57.13333333333333
