id_journey;possible_modes;date;startTime;endTime;x_origin;y_origin;x_dest;y_dest;duration;walkTime;transitTime;waitingTime;walkDistance;walkLimitExceeded;transfers
1;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080000;20181029T083840;2.42111;48.65497;2.38266;48.87826;2320;0;0;0;0;False;0
2;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080657;20181029T090303;2.42111;48.65497;2.38266;48.87826;3379;549;1740;174;137;False;2
3;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080424;20181029T090303;2.42111;48.65497;2.38266;48.87826;3519;543;2100;240;137;False;2
4;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080657;20181029T090516;2.42111;48.65497;2.38266;48.87826;3512;969;1620;7;689;False;1
5;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080657;20181029T092148;2.42111;48.65497;2.38266;48.87826;4504;930;2280;378;657;False;1
6;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080657;20181029T092433;2.42111;48.65497;2.38266;48.87826;4669;813;2640;300;437;False;1
1;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180000;20181029T182237;2.38575;48.99779;2.38541;48.90084;1357;0;0;0;0;False;0
2;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180720;20181029T183021;2.38575;48.99779;2.38541;48.90084;1381;141;180;0;158;False;0
1;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080039;20181029T082445;2.26971;48.77321;2.30267;48.85618;1446;285;60;0;319;False;0
2;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080139;20181029T082527;2.26971;48.77321;2.30267;48.85618;1428;87;120;0;98;False;0
3;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080000;20181029T083015;2.26971;48.77321;2.30267;48.85618;1815;0;0;0;0;False;0
1;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080000;20181029T082840;2.19375;48.71342;2.39639;48.81410;1720;0;0;0;0;False;0
2;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080054;20181029T085416;2.19375;48.71342;2.39639;48.81410;3202;376;1560;540;420;False;2
3;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080342;20181029T085516;2.19375;48.71342;2.39639;48.81410;3094;376;1200;600;420;False;1
4;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T082723;20181029T091816;2.19375;48.71342;2.39639;48.81410;3107;376;1800;0;420;False;0
5;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T082109;20181029T091816;2.19375;48.71342;2.39639;48.81410;3427;648;2280;148;420;False;1
6;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T082007;20181029T091816;2.19375;48.71342;2.39639;48.81410;3489;376;2160;360;420;False;1
7;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T081943;20181029T091816;2.19375;48.71342;2.39639;48.81410;3513;712;2640;24;420;False;1
1;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080000;20181029T083003;2.72118;48.89429;2.39639;48.81410;1803;0;0;0;0;False;0
2;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T081100;20181029T092416;2.72118;48.89429;2.39639;48.81410;4396;893;2700;383;420;False;2
3;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T081100;20181029T094613;2.72118;48.89429;2.39639;48.81410;5713;841;4080;372;282;False;2
1;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180000;20181029T183137;2.04208;48.77882;2.33391;48.87104;1897;0;0;0;0;False;0
2;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180726;20181029T185345;2.04208;48.77882;2.33391;48.87104;2779;618;1140;87;383;False;1
3;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180215;20181029T185345;2.04208;48.77882;2.33391;48.87104;3125;345;1380;0;383;False;0
4;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180726;20181029T185751;2.04208;48.77882;2.33391;48.87104;3026;363;1680;48;124;False;1
5;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180432;20181029T191352;2.04208;48.77882;2.33391;48.87104;4160;695;3000;137;323;False;2
6;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180623;20181029T192152;2.04208;48.77882;2.33391;48.87104;4529;292;3180;0;323;False;0
1;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080000;20181029T083542;2.68684;48.86155;2.30850;48.87465;2142;0;0;0;0;False;0
2;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080347;20181029T085615;2.68684;48.86155;2.30850;48.87465;3148;411;1680;24;84;False;1
3;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080847;20181029T090010;2.68684;48.86155;2.30850;48.87465;3083;406;1500;144;78;False;1
4;CAR_PARK,WALK,TRANSIT;20181029T080000;20181029T080741;20181029T090010;2.68684;48.86155;2.30850;48.87465;3149;406;2100;24;78;False;1
1;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180000;20181029T183611;2.07710;48.88684;2.37854;48.82857;2171;0;0;0;0;False;0
2;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180033;20181029T184618;2.07710;48.88684;2.37854;48.82857;2747;630;1080;108;423;False;1
3;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180417;20181029T190133;2.07710;48.88684;2.37854;48.82857;3436;753;2220;180;372;False;2
4;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180417;20181029T190210;2.07710;48.88684;2.37854;48.82857;3473;718;2340;132;146;False;2
5;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180229;20181029T190533;2.07710;48.88684;2.37854;48.82857;3784;585;2160;108;372;False;1
6;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180417;20181029T190625;2.07710;48.88684;2.37854;48.82857;3728;601;2640;204;229;False;2
7;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180123;20181029T190833;2.07710;48.88684;2.37854;48.82857;4088;333;2340;0;372;False;0
1;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180000;20181029T182919;2.13478;48.82314;2.35245;48.86291;1759;0;0;0;0;False;0
2;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T181112;20181029T192058;2.13478;48.82314;2.35245;48.86291;4231;754;2520;204;464;False;1
3;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180306;20181029T192058;2.13478;48.82314;2.35245;48.86291;4674;418;3060;0;464;False;0
4;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T184116;20181029T200555;2.13478;48.82314;2.35245;48.86291;5079;847;3300;648;196;False;2
1;CAR_PARK,WALK,TRANSIT;20181029T180000;20181029T180000;20181029T184703;2.65320;48.93987;2.35382;48.86268;2823;0;0;0;0;False;0
