id_journey;id_leg;legMode;date;startTime;endTime;x_origin;y_origin;x_dest;y_dest;legStartTime;legEndTime;legDepartureDelay;legArrivalDelay;legDistance;legInterlineWithPreviousLeg;legDuration;legStopIdOrigin;legOrigName;x_legOrigin;y_legOrigin;legStopIdDest;legDestName;x_legDest;y_legDest;transitLeg;route;agencyName;tripshortName;headsign
1;1;CAR;20181029T080000;20181029T080000;20181029T083840;2.42111;48.65497;2.38266;48.87826;20181029T080000;20181029T083840;0;0;39240;0;2320;;Chemin de la Sous-Station (Ris-Orangis);2.42111;48.65497;;38 Rue du Plateau (Paris);2.42111;48.65497;False;;;;
2;1;CAR;20181029T080000;20181029T080657;20181029T090303;2.42111;48.65497;2.38266;48.87826;20181029T080657;20181029T082200;0;0;10890;0;903;;Chemin de la Sous-Station (Ris-Orangis);2.42111;48.65497;;;2.42111;48.65497;False;;;;
2;2;RAIL;20181029T080000;20181029T080657;20181029T090303;2.42111;48.65497;2.38266;48.87826;20181029T082200;20181029T084500;0;0;19208;0;1380;stop_point:8768182:800:D;GARE DE VILLENEUVE ST GEORGES (Villeneuve-Saint-Georges);2.446136;48.730117;stop_point:8727102:800:D;GARE DU NORD RER (Paris);2.446136;48.730117;True;D;RER;GARE DE GOUSSAINVILLE;GARE DE GOUSSAINVILLE (Goussainville)
2;3;WALK;20181029T080000;20181029T080657;20181029T090303;2.42111;48.65497;2.38266;48.87826;20181029T084500;20181029T084918;0;0;0;0;258;stop_point:8727102:800:D;GARE DU NORD RER (Paris);2.357115;48.880769;stop_point:59270;Gare du Nord (Paris);2.357115;48.880769;False;;;;
2;4;WALK;20181029T080000;20181029T080657;20181029T090303;2.42111;48.65497;2.38266;48.87826;20181029T084918;20181029T085000;0;0;0;0;42;;;;;;;;;;;;;
2;5;SUBWAY;20181029T080000;20181029T080657;20181029T090303;2.42111;48.65497;2.38266;48.87826;20181029T085000;20181029T085300;0;0;1238;0;180;stop_point:59270;Gare du Nord (Paris);2.356391;48.879386;stop_point:59635;Jaurès (Paris);2.356391;48.879386;True;5;METRO;Bobigny-Pablo-Picasso;Bobigny-Pablo-Picasso (Bobigny)
2;6;WALK;20181029T080000;20181029T080657;20181029T090303;2.42111;48.65497;2.38266;48.87826;20181029T085300;20181029T085548;0;0;0;0;168;stop_point:59635;Jaurès (Paris);2.370605;48.882879;stop_point:59647;Jaurès (Paris);2.370605;48.882879;False;;;;
2;7;WALK;20181029T080000;20181029T080657;20181029T090303;2.42111;48.65497;2.38266;48.87826;20181029T085548;20181029T085800;0;0;0;0;132;;;;;;;;;;;;;
2;8;SUBWAY;20181029T080000;20181029T080657;20181029T090303;2.42111;48.65497;2.38266;48.87826;20181029T085800;20181029T090100;0;0;932;0;180;stop_point:59647;Jaurès (Paris);2.370496;48.882331;stop_point:59333;Buttes-Chaumont (Paris);2.370496;48.882331;True;7B;METRO;Pré-Saint-Gervais;Pré-Saint-Gervais (Paris)
2;9;WALK;20181029T080000;20181029T080657;20181029T090303;2.42111;48.65497;2.38266;48.87826;20181029T090100;20181029T090303;0;0;137;0;123;;;2.38129;48.87780;;38 Rue du Plateau (Paris);2.38129;48.87780;False;;;;
3;1;CAR;20181029T080000;20181029T080424;20181029T090303;2.42111;48.65497;2.38266;48.87826;20181029T080424;20181029T081500;0;0;6417;0;636;;Chemin de la Sous-Station (Ris-Orangis);2.42111;48.65497;;;2.42111;48.65497;False;;;;
3;2;RAIL;20181029T080000;20181029T080424;20181029T090303;2.42111;48.65497;2.38266;48.87826;20181029T081500;20181029T082900;0;0;17256;0;840;stop_point:8754524:800:C;GARE DE JUVISY (Juvisy-sur-Orge);2.383139;48.689457;stop_point:8754702:800:C;GARE D'AUSTERLITZ RER C (Paris);2.383139;48.689457;True;C;RER;GARE DE ST QUENTIN EN YVELINES;GARE DE ST QUENTIN EN YVELINES (Montigny-le-Bretonneux)
3;3;WALK;20181029T080000;20181029T080424;20181029T090303;2.42111;48.65497;2.38266;48.87826;20181029T082900;20181029T083312;0;0;0;0;252;stop_point:8754702:800:C;GARE D'AUSTERLITZ RER C (Paris);2.365433;48.842528;stop_point:59200;Gare d'Austerlitz (Paris);2.365433;48.842528;False;;;;
3;4;WALK;20181029T080000;20181029T080424;20181029T090303;2.42111;48.65497;2.38266;48.87826;20181029T083312;20181029T083500;0;0;0;0;108;;;;;;;;;;;;;
3;5;SUBWAY;20181029T080000;20181029T080424;20181029T090303;2.42111;48.65497;2.38266;48.87826;20181029T083500;20181029T085300;0;0;5670;0;1080;stop_point:59200;Gare d'Austerlitz (Paris);2.364207;48.843417;stop_point:59635;Jaurès (Paris);2.364207;48.843417;True;5;METRO;Bobigny-Pablo-Picasso;Bobigny-Pablo-Picasso (Bobigny)
3;6;WALK;20181029T080000;20181029T080424;20181029T090303;2.42111;48.65497;2.38266;48.87826;20181029T085300;20181029T085548;0;0;0;0;168;stop_point:59635;Jaurès (Paris);2.370605;48.882879;stop_point:59647;Jaurès (Paris);2.370605;48.882879;False;;;;
