None;x_origin;y_origin;x_dest;y_dest;walkTime;walkTime;walkDistance;walkDistance;id_journey;waitingTime;waitingTime;duration;duration;transitTime;transitTime
None;;;;;mean;std;mean;std;nunique;mean;std;mean;std;mean;std
0;2.4211099999999997;48.65497;2.38266;48.87826;10.566666666666666;6.006218999226275;0.3428333333333333;0.2931446173250784;6;3.0527777777777776;2.5766993673359777;60.84166666666667;14.2326336674247;28.833333333333332;15.406708495543967
1;2.38575;48.99779;2.38541;48.90084;1.175;1.6617009357883865;0.079;0.11172287142747452;2;0.0;0.0;22.816666666666666;0.282842712474619;1.5;2.121320343559643
2;2.26971;48.77321;2.30267;48.85618;2.066666666666667;2.43430345958209;0.139;0.16340440630533806;3;0.0;0.0;26.05;3.6403983298534794;1.0;1.0
3;2.19375;48.71342;2.3963900000000002;48.8141;6.81904761904762;3.8524094020571336;0.36;0.15874507866387544;7;3.980952380952381;4.32644140583173;51.31428571428571;10.40961729724644;27.714285714285715;14.579829511054943
4;2.72118;48.894290000000005;2.3963900000000002;48.8141;9.633333333333333;8.353957811188126;0.234;0.21407475329893527;3;4.194444444444445;3.6336518718674644;66.17777777777778;33.15664142174793;37.666666666666664;34.58805188693537
5;2.04208;48.77882;2.33391;48.87104;6.425;4.14558332579519;0.256;0.15760456846170418;6;0.7555555555555556;0.951937595215771;54.21111111111111;15.955057250033665;28.833333333333332;19.97414996105383
6;2.68684;48.86155;2.3085;48.87465;5.095833333333333;3.397449342821323;0.06;0.040099875311526846;4;0.8;1.0832051206181281;48.00833333333333;8.221679786912071;22.0;15.253414918196734
7;2.0771;48.88684;2.37854;48.82857;8.619047619047619;4.418452768529372;0.27342857142857147;0.15518575658744924;7;1.7428571428571429;1.3302344941865738;55.77857142857143;11.08047880653226;30.42857142857143;15.735915849388864
8;2.13478;48.82314;2.35245;48.86291;8.4125;6.394143370651337;0.281;0.22595279743049582;4;3.55;5.0921508225896055;65.59583333333333;24.865279135402474;37.0;25.25866188063018
9;2.6532;48.93987;2.3538200000000002;48.86268;6.873333333333333;4.029760814517684;0.16440000000000002;0.20807883121547951;5;2.006666666666667;3.932796573545203;55.309999999999995;6.4071856362819535;27.2;15.754364474646383
