None;x_origin;y_origin;x_dest;y_dest;legMode;transitLeg;transitLeg;legDistance;legDistance;legDuration;legDuration
None;;;;;;median;std;mean;std;mean;std
0;2.4211099999999997;48.65497;2.38266;48.87826;CAR;0.0;0.0;14.869500000000002;12.07237928082116;18.244444444444444;10.161915100930461
1;2.4211099999999997;48.65497;2.38266;48.87826;RAIL;1.0;0.0;17.9244;1.17736328293352;19.6;3.714835124201342
2;2.4211099999999997;48.65497;2.38266;48.87826;WALK;0.0;0.0;0.4114;0.26862017794648263;16.343333333333334;3.9977875825955977
3;2.4211099999999997;48.65497;2.38266;48.87826;SUBWAY;2.0;0.5773502691896258;4.101333333333334;2.270189713070988;11.666666666666666;8.144527815247077
4;2.4211099999999997;48.65497;2.38266;48.87826;BUS;1.0;0.0;3.3735;0.8746910883277594;20.0;7.0710678118654755
5;2.38575;48.99779;2.38541;48.90084;CAR;0.0;0.0;16.148;4.347292490734895;20.141666666666666;3.5001785668734087
6;2.38575;48.99779;2.38541;48.90084;BUS;1.0;;0.971;;3.0;
7;2.38575;48.99779;2.38541;48.90084;WALK;0.0;;0.158;;2.35;
8;2.26971;48.77321;2.30267;48.85618;CAR;0.0;0.0;13.881032783968303;6.673888396083922;22.983333333333334;6.372074492136241
9;2.26971;48.77321;2.30267;48.85618;SUBWAY;1.0;;0.83;;1.0;
10;2.26971;48.77321;2.30267;48.85618;WALK;0.0;0.0;0.20850000000000002;0.156270598642227;3.1;2.333452377915607
11;2.26971;48.77321;2.30267;48.85618;BUS;1.0;;0.295;;2.0;
12;2.19375;48.71342;2.3963900000000002;48.8141;CAR;0.0;0.0;11.512714285714285;9.074209069560567;12.671428571428569;8.45660882412287
13;2.19375;48.71342;2.3963900000000002;48.8141;RAIL;2.0;0.752772652709081;22.1495;2.9630745350058274;30.333333333333332;6.623191577077223
14;2.19375;48.71342;2.3963900000000002;48.8141;WALK;0.0;0.0;0.42;0.0;12.6;3.5023801430836525
15;2.19375;48.71342;2.3963900000000002;48.8141;BUS;1.0;;4.732;;12.0;
16;2.72118;48.894290000000005;2.3963900000000002;48.8141;CAR;0.0;0.0;14.133333333333335;17.38517130583801;14.683333333333332;13.307923704820873
17;2.72118;48.894290000000005;2.3963900000000002;48.8141;RAIL;1.5;0.7071067811865476;28.2025;3.9392918779902546;30.0;7.0710678118654755
18;2.72118;48.894290000000005;2.3963900000000002;48.8141;WALK;0.0;0.0;0.351;0.09758073580374356;20.741666666666667;0.7424621202458767
19;2.72118;48.894290000000005;2.3963900000000002;48.8141;SUBWAY;1.0;0.0;6.6025;5.227640433312145;18.5;12.020815280171307
20;2.72118;48.894290000000005;2.3963900000000002;48.8141;BUS;1.0;;2.825;;16.0;
21;2.04208;48.77882;2.33391;48.87104;CAR;0.0;0.0;17.98783333333333;9.467185609602605;18.097222222222225;8.683236830344539
22;2.04208;48.77882;2.33391;48.87104;RAIL;1.0;0.5;18.02025;4.291086993214345;27.25;10.144785195688803
23;2.04208;48.77882;2.33391;48.87104;WALK;0.0;0.0;0.30720000000000003;0.1067155096506595;8.616666666666667;3.9617441445235544
24;2.04208;48.77882;2.33391;48.87104;SUBWAY;1.0;;0.736;;3.0;
25;2.04208;48.77882;2.33391;48.87104;BUS;1.5;0.7071067811865476;5.98;6.318706196682989;30.5;31.81980515339464
26;2.68684;48.86155;2.3085;48.87465;CAR;0.0;0.0;23.304000000000002;10.183761485816525;20.1125;10.888835388190566
27;2.68684;48.86155;2.3085;48.87465;RAIL;1.0;0.0;16.71466666666667;5.434270542891044;23.333333333333332;6.806859285554046
28;2.68684;48.86155;2.3085;48.87465;WALK;0.0;0.0;0.08;0.0034641016151377574;7.861111111111111;1.1314117696897943
29;2.68684;48.86155;2.3085;48.87465;BUS;1.0;0.0;1.1740000000000002;0.5559883092296096;6.0;3.4641016151377544
30;2.0771;48.88684;2.37854;48.82857;CAR;0.0;0.0;13.615714285714287;12.36701678813833;14.845238095238093;11.720991434671394
31;2.0771;48.88684;2.37854;48.82857;RAIL;1.0;0.816496580927726;19.1765;5.938927436835711;31.0;8.921883209278185
32;2.0771;48.88684;2.37854;48.82857;WALK;0.0;0.0;0.319;0.10702523067015551;12.088888888888889;3.4971840523907654
33;2.0771;48.88684;2.37854;48.82857;SUBWAY;1.0;0.0;2.8166666666666664;0.6766545154902411;5.0;1.0
34;2.0771;48.88684;2.37854;48.82857;BUS;1.5;0.7071067811865476;1.833;2.322138669416622;6.0;7.0710678118654755
35;2.13478;48.82314;2.35245;48.86291;CAR;0.0;0.0;11.375499999999999;8.213194120844014;16.4375;10.588606516580118
36;2.13478;48.82314;2.35245;48.86291;SUBWAY;1.0;;8.251;;20.0;
37;2.13478;48.82314;2.35245;48.86291;WALK;0.0;0.0;0.3746666666666667;0.15472987214281972;15.950000000000001;8.975011606306332
38;2.13478;48.82314;2.35245;48.86291;BUS;1.0;0.5773502691896258;5.231000000000001;2.5605220170894842;31.333333333333332;17.03917055884274
39;2.13478;48.82314;2.35245;48.86291;RAIL;1.0;;17.797;;34.0;
40;2.6532;48.93987;2.3538200000000002;48.86268;CAR;0.0;0.0;10.991640818346784;10.37009341322221;19.220000000000002;15.696626495312081
41;2.6532;48.93987;2.3538200000000002;48.86268;RAIL;1.0;0.0;21.59175;1.6099671580501262;25.5;4.725815626252609
42;2.6532;48.93987;2.3538200000000002;48.86268;WALK;0.0;0.0;0.2185833606600689;0.24014867466219295;11.1;3.8519115023871238
43;2.6532;48.93987;2.3538200000000002;48.86268;SUBWAY;1.0;;0.694;;2.0;
44;2.6532;48.93987;2.3538200000000002;48.86268;BUS;1.5;0.7071067811865476;3.0285;1.5464425304549791;16.0;2.8284271247461903
