None;x_origin;y_origin;x_dest;y_dest;id_journey;legMode;transitLeg;legDistance;legDuration
None;;;;;;;<lambda>;legDistance;legDuration
0;2.4211099999999997;48.65497;2.38266;48.87826;1;CAR;0;39.24;38.666666666666664
1;2.4211099999999997;48.65497;2.38266;48.87826;2;CAR;0;10.89;15.05
2;2.4211099999999997;48.65497;2.38266;48.87826;2;RAIL;1;19.208;23.0
3;2.4211099999999997;48.65497;2.38266;48.87826;2;WALK;0;0.137;12.05
4;2.4211099999999997;48.65497;2.38266;48.87826;2;SUBWAY;2;2.17;6.0
5;2.4211099999999997;48.65497;2.38266;48.87826;3;CAR;0;6.417;10.6
6;2.4211099999999997;48.65497;2.38266;48.87826;3;RAIL;1;17.256;14.0
7;2.4211099999999997;48.65497;2.38266;48.87826;3;WALK;0;0.137;13.05
8;2.4211099999999997;48.65497;2.38266;48.87826;3;SUBWAY;2;6.602;21.0
9;2.4211099999999997;48.65497;2.38266;48.87826;4;CAR;0;10.89;15.05
10;2.4211099999999997;48.65497;2.38266;48.87826;4;RAIL;1;16.975;19.0
11;2.4211099999999997;48.65497;2.38266;48.87826;4;WALK;0;0.689;16.266666666666666
12;2.4211099999999997;48.65497;2.38266;48.87826;4;SUBWAY;1;3.532;8.0
13;2.4211099999999997;48.65497;2.38266;48.87826;5;CAR;0;10.89;15.05
14;2.4211099999999997;48.65497;2.38266;48.87826;5;RAIL;1;19.208;23.0
15;2.4211099999999997;48.65497;2.38266;48.87826;5;WALK;0;0.657;21.8
16;2.4211099999999997;48.65497;2.38266;48.87826;5;BUS;1;2.755;15.0
17;2.4211099999999997;48.65497;2.38266;48.87826;6;CAR;0;10.89;15.05
18;2.4211099999999997;48.65497;2.38266;48.87826;6;RAIL;1;16.975;19.0
19;2.4211099999999997;48.65497;2.38266;48.87826;6;WALK;0;0.437;18.55
20;2.4211099999999997;48.65497;2.38266;48.87826;6;BUS;1;3.992;25.0
21;2.38575;48.99779;2.38541;48.90084;1;CAR;0;19.222;22.616666666666667
22;2.38575;48.99779;2.38541;48.90084;2;CAR;0;13.074;17.666666666666668
23;2.38575;48.99779;2.38541;48.90084;2;BUS;1;0.971;3.0
24;2.38575;48.99779;2.38541;48.90084;2;WALK;0;0.158;2.35
25;2.26971;48.77321;2.30267;48.85618;1;CAR;0;9.520128930466912;18.35
26;2.26971;48.77321;2.30267;48.85618;1;SUBWAY;1;0.83;1.0
27;2.26971;48.77321;2.30267;48.85618;1;WALK;0;0.319;4.75
28;2.26971;48.77321;2.30267;48.85618;2;CAR;0;10.558969421438002;20.35
29;2.26971;48.77321;2.30267;48.85618;2;BUS;1;0.295;2.0
30;2.26971;48.77321;2.30267;48.85618;2;WALK;0;0.098;1.45
31;2.26971;48.77321;2.30267;48.85618;3;CAR;0;21.564;30.25
32;2.19375;48.71342;2.3963900000000002;48.8141;1;CAR;0;28.165;28.666666666666668
33;2.19375;48.71342;2.3963900000000002;48.8141;2;CAR;0;11.034;12.1
34;2.19375;48.71342;2.3963900000000002;48.8141;2;RAIL;3;25.154;26.0
35;2.19375;48.71342;2.3963900000000002;48.8141;2;WALK;0;0.42;15.266666666666667
36;2.19375;48.71342;2.3963900000000002;48.8141;3;CAR;0;14.702;15.3
37;2.19375;48.71342;2.3963900000000002;48.8141;3;RAIL;2;18.378;20.0
38;2.19375;48.71342;2.3963900000000002;48.8141;3;WALK;0;0.42;16.266666666666666
39;2.19375;48.71342;2.3963900000000002;48.8141;4;CAR;0;13.382;14.616666666666667
40;2.19375;48.71342;2.3963900000000002;48.8141;4;RAIL;1;19.441;30.0
41;2.19375;48.71342;2.3963900000000002;48.8141;4;WALK;0;0.42;6.266666666666667
42;2.19375;48.71342;2.3963900000000002;48.8141;5;CAR;0;2.076;5.85
43;2.19375;48.71342;2.3963900000000002;48.8141;5;RAIL;2;25.312;38.0
44;2.19375;48.71342;2.3963900000000002;48.8141;5;WALK;0;0.42;13.266666666666667
45;2.19375;48.71342;2.3963900000000002;48.8141;6;CAR;0;10.318;9.883333333333333
46;2.19375;48.71342;2.3963900000000002;48.8141;6;RAIL;2;23.583;36.0
47;2.19375;48.71342;2.3963900000000002;48.8141;6;WALK;0;0.42;12.266666666666667
48;2.19375;48.71342;2.3963900000000002;48.8141;7;CAR;0;0.912;2.283333333333333
49;2.19375;48.71342;2.3963900000000002;48.8141;7;BUS;1;4.732;12.0
50;2.19375;48.71342;2.3963900000000002;48.8141;7;WALK;0;0.42;12.266666666666667
51;2.19375;48.71342;2.3963900000000002;48.8141;7;RAIL;1;21.029;32.0
52;2.72118;48.894290000000005;2.3963900000000002;48.8141;1;CAR;0;34.208;30.05
53;2.72118;48.894290000000005;2.3963900000000002;48.8141;2;CAR;0;4.096;7.0
54;2.72118;48.894290000000005;2.3963900000000002;48.8141;2;RAIL;2;30.988;35.0
55;2.72118;48.894290000000005;2.3963900000000002;48.8141;2;WALK;0;0.42;21.266666666666666
