LonFrom,LatFrom,LonTo,LatTo,dateTime,Mode,Description
2.19375,48.71342,2.39639,48.81410,20181221T080000,CAR+TC+WALK,Banlieue-Paris
2.26971,48.77321,2.30267,48.85618,20181221T080000,CAR+TC+WALK,Banlieue-Paris
2.42111,48.65497,2.38266,48.87826,20181221T080000,CAR+TC+WALK,Banlieue-Paris
2.68684,48.86155,2.30850,48.87465,20181221T080000,CAR+TC+WALK,Banlieue-Paris
2.72118,48.89429,2.39639,48.81410,20181221T080000,CAR+TC+WALK,Banlieue-Paris
2.65320,48.93987,2.35382,48.86268,20181221T180000,CAR+TC+WALK,Banlieue-Paris
2.38575,48.99779,2.38541,48.90084,20181221T180000,CAR+TC+WALK,Banlieue-Paris
2.07710,48.88684,2.37854,48.82857,20181221T180000,CAR+TC+WALK,Banlieue-Paris
2.13478,48.82314,2.35245,48.86291,20181221T180000,CAR+TC+WALK,Banlieue-Paris
2.04208,48.77882,2.33391,48.87104,20181221T180000,CAR+TC+WALK,Banlieue-Paris
